Name;ReleaseDate;Action;Adventure;Children;Comedy;Crime;Documentary;Drama;Fantasy;Noir;Horror;Musical;Mystery;Romance;SciFi;Thriller;War;Western;AvgRating;Watches
Penny Serenade (1941);1941;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.55;40
Scarlet Letter, The (1926);1926;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.24;37
Lady of Burlesque (1943);1943;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3.38;13
Of Human Bondage (1934);1934;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.74;58
Angel on My Shoulder (1946);1946;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.45;20
Little Lord Fauntleroy (1936);1936;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.48;23
They Made Me a Criminal (1939);1939;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.55;11
Inspector General, The (1949);1949;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.57;54
Angel and the Badman (1947);1947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.39;51
39 Steps, The (1935);1935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4.08;253
Walk in the Sun, A (1945);1945;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;6
Outlaw, The (1943);1943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.26;23
Night of the Living Dead (1968);1968;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.67;715
African Queen, The (1951);1951;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4.25;1057
Beat the Devil (1954);1954;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.41;37
Cat on a Hot Tin Roof (1958);1958;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.05;271
Last Time I Saw Paris, The (1954);1954;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.17;6
Meet John Doe (1941);1941;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.91;82
Algiers (1938);1938;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.75;16
Something to Sing About (1937);1937;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1.5;2
Farewell to Arms, A (1932);1932;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3.57;56
Moonlight Murder (1936);1936;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
Blue Angel, The (Blaue Engel, Der) (1930);1930;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.94;100
Nothing Personal (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.5801;0
In the Line of Duty 2 (1987);1987;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;5
Dangerous Ground (1997);1997;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.75;4
Picnic (1955);1955;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.68;81
Madagascar Skin (1995);1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
Pompatus of Love, The (1996);1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.67;33
Small Wonders (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.75;4
Fly Away Home (1996);1996;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;232
Bliss (1997);1997;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.9;40
Grace of My Heart (1996);1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.38;69
Schlafes Bruder (Brother of Sleep) (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1
Maximum Risk (1996);1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.57;54
Michael Collins (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.52;170
Rich Man's Wife, The (1996);1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.6;20
Infinity (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.11;9
Big Night (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.1;450
Last Man Standing (1996);1996;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2.91;256
Caught (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.36;28
Set It Off (1996);1996;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.01;93
2 Days in the Valley (1996);1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.28;286
Curdled (1996);1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.05;20
Associate, The (L'Associe)(1982);1982;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Ed's Next Move (1996);1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;8
Extreme Measures (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.94;121
Glimmer Man, The (1996);1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.66;101
D3: The Mighty Ducks (1996);1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.37;142
Chamber, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.09;78
Apple Dumpling Gang, The (1975);1975;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2.98;232
Davy Crockett, King of the Wild Frontier (1955);1955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.33;97
Escape to Witch Mountain (1975);1975;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.19;291
Love Bug, The (1969);1969;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.27;242
Herbie Rides Again (1974);1974;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.73;135
Old Yeller (1957);1957;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;301
Parent Trap, The (1961);1961;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.57;258
Pollyanna (1960);1960;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.4;136
Homeward Bound: The Incredible Journey (1993);1993;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.35;234
Shaggy Dog, The (1959);1959;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.22;156
Swiss Family Robinson (1960);1960;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.59;276
That Darn Cat! (1965);1965;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3.25;123
20,000 Leagues Under the Sea (1954);1954;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3.7;575
Cool Runnings (1993);1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.24;392
Angels in the Outfield (1994);1994;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.77;247
Cinderella (1950);1950;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.76;577
Winnie the Pooh and the Blustery Day (1968);1968;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.99;221
Three Caballeros, The (1945);1945;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.25;126
Sword in the Stone, The (1963);1963;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.61;293
So Dear to My Heart (1949);1949;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.63;8
Robin Hood: Prince of Thieves (1991);1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.16;344
Mary Poppins (1964);1964;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.89;1011
Dumbo (1941);1941;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.69;568
Pete's Dragon (1977);1977;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.08;323
Bedknobs and Broomsticks (1971);1971;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.48;319
Alice in Wonderland (1951);1951;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.7;525
Fox and the Hound, The (1981);1981;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.45;287
Freeway (1996);1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.64;169
Sound of Music, The (1965);1965;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.93;882
Die Hard (1988);1988;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4.12;1666
Lawnmower Man, The (1992);1992;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.66;615
Unhook the Stars (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.27;11
Synthetic Pleasures (1995);1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.67;3
Secret Agent, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;5
Secrets & Lies (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.04;474
That Thing You Do! (1996);1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.48;528
To Gillian on Her 37th Birthday (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.84;108
Surviving Picasso (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.29;35
Love Is All There Is (1996);1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Beautiful Thing (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.07;90
Long Kiss Goodnight, The (1996);1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.48;434
Ghost and the Darkness, The (1996);1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33;451
Looking for Richard (1996);1996;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3.82;146
Trees Lounge (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.42;98
Proprietor, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Normal Life (1996);1996;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2.91;35
Get on the Bus (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.31;81
Shadow Conspiracy (1997);1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.74;19
Jude (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;50
Everyone Says I Love You (1996);1996;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3.56;274
Bitter Sugar (Azucar Amargo) (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.27;11
William Shakespeare's Romeo and Juliet (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.4;479
Swingers (1996);1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.94;786
Sleepers (1996);1996;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.55;374
Sunchaser, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.5;2
Johns (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.15;26
Aladdin and the King of Thieves (1996);1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;209
Woman in Question, The (1950);1950;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3.5801;0
Shall We Dance? (1937);1937;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;4.17;175
Damsel in Distress, A (1937);1937;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3.78;23
Crossfire (1947);1947;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3.69;35
Murder, My Sweet (1944);1944;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3.93;110
Macao (1952);1952;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
For the Moment (1994);1994;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3.4;5
Willy Wonka and the Chocolate Factory (1971);1971;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3.86;1313
Sexual Life of the Belgians, The (1994);1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Innocents, The (1961);1961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;23
Sleeper (1973);1973;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3.98;744
Bananas (1971);1971;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3.84;372
Fish Called Wanda, A (1988);1988;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.97;1326
Monty Python's Life of Brian (1979);1979;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.02;926
Victor/Victoria (1982);1982;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.62;434
Candidate, The (1972);1972;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;154
Great Race, The (1965);1965;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.53;164
Bonnie and Clyde (1967);1967;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4.1;686
Old Man and the Sea, The (1958);1958;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.78;131
Dial M for Murder (1954);1954;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.08;379
Madame Butterfly (1995);1995;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.44;18
Dirty Dancing (1987);1987;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3.31;687
Reservoir Dogs (1992);1992;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4.14;1259
Platoon (1986);1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.09;1143
Weekend at Bernie's (1989);1989;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.79;373
Basic Instinct (1992);1992;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3.54;751
Doors, The (1991);1991;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.41;680
Crying Game, The (1992);1992;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3.73;1229
Glengarry Glen Ross (1992);1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.88;571
Sophie's Choice (1982);1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.98;344
E.T. the Extra-Terrestrial (1982);1982;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;3.97;2269
Search for One-eye Jimmy, The (1996);1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;5
Christmas Carol, A (1938);1938;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.99;194
Days of Thunder (1990);1990;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.81;420
Top Gun (1986);1986;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.69;1010
American Strays (1996);1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
Rebel Without a Cause (1955);1955;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.92;402
Streetcar Named Desire, A (1951);1951;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.23;483
Children of the Corn IV: The Gathering (1996);1996;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.79;42
Leopard Son, The (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Loser (1991);1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
Prerokbe Ognja (1995);1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Charm's Incidents (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Bird of Prey (1996);1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.1;94
Palookaville (1996);1996;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.43;35
Associate, The (1996);1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;50
Funeral, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.87;31
Sleepover (1995);1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
Single Girl, A (La Fille Seule) (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.41;17
Eighth Day, The (Le Huiti?e jour ) (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.25;12
Tashunga (1995);1995;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1
Drunks (1997);1997;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.21;34
People vs. Larry Flynt, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.58;456
Glory Daze (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.08;13
Plutonium Circus (1995);1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Perfect Candidate, A (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.73;33
On Golden Pond (1981);1981;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.74;405
Return of the Pink Panther, The (1974);1974;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.78;385
Drop Dead Fred (1991);1991;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2.37;317
Abyss, The (1989);1989;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3.68;1715
Fog, The (1980);1980;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.92;170
Escape from New York (1981);1981;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3.46;884
Howling, The (1980);1980;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3.26;231
Jean de Florette (1986);1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.32;216
Manon of the Spring (Manon des sources) (1986);1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.26;220
Talking About Sex (1994);1994;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2
Johnny 100 Pesos (1993);1993;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2
Private Benjamin (1980);1980;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.19;407
Monty Python and the Holy Grail (1974);1974;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.34;1599
Hustler White (1996);1996;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
Dadetown (1995);1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.86;7
Everything Relative (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;2
Entertaining Angels: The Dorothy Day Story (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Hoogste tijd (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Get Over It (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
Three Lives and Only One Death (1996);1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Line King: Al Hirschfeld, The (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.75;16
Snowriders (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.5;2
Curtis's Charm (1995);1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
When We Were Kings (1996);1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.32;277
Wrong Trousers, The (1993);1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.51;882
JLG/JLG - autoportrait de d?embre (1994);1994;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3.5;4
Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982);1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.93;158
Faust (1994);1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3.48;31
He Walked by Night (1948);1948;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3.48;29
Raw Deal (1948);1948;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3.43;14
T-Men (1947);1947;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3.73;15
Invitation, The (Zaproszenie) (1986);1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Children Are Watching us, The (Bambini ci guardano, I) (1942);1942;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Symphonie pastorale, La (1946);1946;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Here Comes Cookie (1935);1935;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Love in Bloom (1935);1935;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
Six of a Kind (1934);1934;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.17;6
Tin Drum, The (Blechtrommel, Die) (1979);1979;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.95;94
Ruling Class, The (1972);1972;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.91;96
Mina Tannenbaum (1994);1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.95;19
Two or Three Things I Know About Her (1966);1966;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.6;5
Bloody Child, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
Farmer & Chase (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Dear God (1996);1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;94
Bad Moon (1996);1996;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.06;18
American Dream (1990);1990;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.72;36
Best of the Best 3: No Turning Back (1995);1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.65;17
Bob Roberts (1992);1992;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.73;415
Cinema Paradiso (1988);1988;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;4.29;615
Cook the Thief His Wife & Her Lover, The (1989);1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.35;198
Grosse Fatigue (1994);1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.8;5
Delicatessen (1991);1991;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;4;368
Double Life of Veronique, The (La Double Vie de V?onique) (1991);1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.94;129
Enchanted April (1991);1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.99;147
Paths of Glory (1957);1957;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.47;230
Grifters, The (1990);1990;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;3.79;885
Hear My Song (1991);1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.84;50
Shooter, The (1995);1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.9;10
English Patient, The (1996);1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3.61;989
Mediterraneo (1991);1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3.8;91
My Left Foot (1989);1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.96;453
Sex, Lies, and Videotape (1989);1989;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.61;562
Passion Fish (1992);1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.66;147
Strictly Ballroom (1992);1992;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.95;676
Thin Blue Line, The (1988);1988;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.25;269
Tie Me Up! Tie Me Down! (1990);1990;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.51;132
Madonna: Truth or Dare (1991);1991;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.06;209
Paris Is Burning (1990);1990;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.03;105
One Flew Over the Cuckoo's Nest (1975);1975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.39;1725
Up in Smoke (1978);1978;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.48;212
Star Wars: Episode V - The Empire Strikes Back (1980);1980;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;4.29;2990
Princess Bride, The (1987);1987;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.3;2318
Raiders of the Lost Ark (1981);1981;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.48;2514
Brazil (1985);1985;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.1;913
Aliens (1986);1986;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4.13;1820
Good, The Bad and The Ugly, The (1966);1966;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.13;822
Withnail and I (1987);1987;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.61;72
12 Angry Men (1957);1957;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.3;616
Lawrence of Arabia (1962);1962;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4.4;831
Transformers: The Movie, The (1986);1986;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3.38;231
Clockwork Orange, A (1971);1971;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.08;1229
To Kill a Mockingbird (1962);1962;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.43;928
Apocalypse Now (1979);1979;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.24;1176
